Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,qid,market,mistral-7b-instruct-v0.2.Q4_K_M.gguf,/Users/andrew/Documents/dev/text-generation-webui/models/Wizard-Vicuna-7B-Uncensored.Q4_K_M.gguf
0,0,0,YOBYtGm12Jg7KSrCBXN5,0.6459710455351905,0.5540506302777456,0.5029793372168363
1,1,1,l19sA4leq8pKIfeE1xLA,0.5610540654715837,0.7614076545055655,0.5041421546783447
2,2,2,eUKuzPb348edj3EkmVhU,0.2061971340924331,0.5839144897448649,0.502284307670532
3,3,3,29iQBMpdq7BCBGFLdhgJ,0.2848198966092882,0.4472665829033561,0.5057088793728297
4,4,4,fTiz6jKGppfj5dLdO2Z8,0.4225546965383943,0.9098317116622668,0.5025575166760025
5,5,5,dHNJbguw3iMBwjU0Fa62,0.5,0.9332711357698138,0.5026510282462586
6,6,6,2pto1rYVm5RUTwUkvg3B,0.2564106101755811,0.7767569353078507,0.509008515799515
7,7,7,iG9pkKGilkpGxHtjy5EB,0.6258986349253217,0.3711156957138992,0.5037935781432004
8,8,8,EFAIx8nknbFpsX5NKCvd,0.5736698499317866,0.3773472121418379,0.5035419998408086
9,9,9,ZZovwYgExe8SLAuM5lHW,0.6762655240406549,0.3605999098307629,0.503708875475556
10,10,10,RhDn69q5RM4VYvDWpMmg,0.9139458800934878,0.3714904774738787,0.5038404536523508
11,11,11,osvxavca6yQpf5i7obHb,0.45,0.4145058139107108,0.5027538069205142
12,12,12,PVYhKFrOfgNPp5tsx2mh,0.47177297734062,0.868912568905392,0.5040670038138448
13,13,13,uv2Oh9qAflUHXgdY8FDf,0.6043562311171228,0.4270229098507214,0.5037955944892716
14,14,14,lYP5X4kZjsN9ZPyzdrTF,0.6593513351980761,0.9302014247777688,0.5053429810021821
15,15,15,kpFWsuws8Hc2huw8hDRo,0.4695154410261268,0.4081059986573128,0.5036285596807343
16,16,16,nGMXWMKgTjfF8Im9C4Vt,0.5736698499317872,0.4245156870214798,0.5038444001433857
17,17,17,kYOi1xs8IadXaiTT1Gs2,0.5651417637850059,0.4554883156777437,0.5036233898725742
18,18,18,sA2qNxIv3yhWjgjnGVVj,0.5820096973750203,0.4470914370497842,0.5040310299194517
19,19,19,86wtGENMeV03TmitjW2l,0.7809403601391851,0.1602981972977106,0.5034273023239358
20,20,20,EWhYRpF3e6zdmqZSzSgs,0.565141763785006,0.4517034056457966,0.5039501823265111
21,21,21,nK574sdOwUDd2sHUGGGz,0.4982717849317499,0.4363359184552622,0.5038362519931174
22,22,22,1HenyqtRHDKQOIbcWMxh,0.590163934426229,0.4232636985791059,0.5036616334059141
23,23,23,xwfTFkmyYbME0Byfl7YM,0.565141763785006,0.426486858918565,0.5037094966275523
24,24,24,Q9bAZB8wcjwAFBqRlFn1,0.5346957526606575,0.3416573827720922,0.5040284920546367
25,25,25,DjRvxRxEi9iDIAP5B9lW,0.5820096973750204,0.4318077118070917,0.5039976412389753
26,26,26,AFdPnNmR6ZjutHvl1wSE,0.565141763785006,0.4434752785225369,0.5036962369331466
27,27,27,IuPGEEJL0f7Or9QZG5XD,0.4930056542210778,0.4474862876864078,0.5035027208383119
